dire_1,dire_2,dire_3,dire_4,dire_5,dire_6,first_team_ban,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,radiant_win
primal_beast,earthshaker,phantom_assassin,bristleback,grimstroke,0,0,viper,drow_ranger,windrunner,axe,dazzle,1.0
shadow_shaman,snapfire,antimage,kunkka,nevermore,0,0,ancient_apparition,shredder,void_spirit,lion,weaver,1.0
jakiro,pudge,treant,sven,nevermore,0,0,slark,chaos_knight,ogre_magi,vengefulspirit,juggernaut,1.0
windrunner,jakiro,lich,juggernaut,drow_ranger,0,0,pudge,dragon_knight,zuus,vengefulspirit,viper,0.0
sniper,vengefulspirit,tidehunter,lich,zuus,0,0,jakiro,viper,witch_doctor,juggernaut,dragon_knight,0.0
jakiro,sniper,dragon_knight,lich,axe,0,0,viper,warlock,phantom_assassin,vengefulspirit,zuus,1.0
morphling,antimage,crystal_maiden,brewmaster,zuus,0,1,necrolyte,skywrath_mage,silencer,medusa,alchemist,1.0
arc_warden,crystal_maiden,morphling,necrolyte,bristleback,0,1,zuus,pudge,dawnbreaker,slark,shadow_shaman,0.0
antimage,pangolier,phantom_lancer,rattletrap,queenofpain,0,0,void_spirit,disruptor,lycan,juggernaut,weaver,1.0
bounty_hunter,pudge,sniper,axe,lion,0,1,dazzle,visage,rubick,luna,bristleback,0.0
morphling,bounty_hunter,life_stealer,viper,chaos_knight,0,0,centaur,ancient_apparition,enchantress,drow_ranger,tusk,1.0
nevermore,sand_king,skeleton_king,hoodwink,disruptor,0,1,earthshaker,obsidian_destroyer,shadow_shaman,phantom_assassin,centaur,0.0
night_stalker,pudge,omniknight,gyrocopter,skywrath_mage,0,0,arc_warden,luna,slark,hoodwink,lina,0.0
ogre_magi,silencer,pudge,phantom_lancer,broodmother,0,0,razor,warlock,beastmaster,lina,templar_assassin,1.0
medusa,legion_commander,techies,snapfire,grimstroke,0,0,enchantress,nevermore,omniknight,terrorblade,dragon_knight,0.0
spirit_breaker,antimage,invoker,bloodseeker,death_prophet,0,0,pudge,weaver,silencer,sven,drow_ranger,1.0
silencer,dark_seer,shadow_shaman,skeleton_king,storm_spirit,0,0,rattletrap,doom_bringer,life_stealer,slark,tinker,0.0
zuus,pudge,huskar,lion,weaver,0,1,axe,gyrocopter,alchemist,juggernaut,lich,1.0
sniper,weaver,alchemist,pudge,dazzle,0,0,oracle,dawnbreaker,zuus,invoker,sand_king,1.0
undying,sven,spectre,void_spirit,luna,0,0,weaver,bristleback,slardar,sniper,lion,0.0
nevermore,enchantress,pudge,bounty_hunter,silencer,0,0,lich,rubick,ogre_magi,drow_ranger,phantom_assassin,1.0
chaos_knight,terrorblade,dark_seer,marci,queenofpain,0,0,vengefulspirit,razor,warlock,zuus,undying,1.0
juggernaut,ogre_magi,magnataur,witch_doctor,void_spirit,0,0,dawnbreaker,lion,bristleback,pudge,terrorblade,0.0
bristleback,phantom_assassin,obsidian_destroyer,witch_doctor,zuus,0,0,shadow_shaman,leshrac,mars,weaver,viper,0.0
viper,legion_commander,obsidian_destroyer,phantom_assassin,rubick,0,0,hoodwink,nevermore,spirit_breaker,pudge,void_spirit,1.0
tiny,ember_spirit,skywrath_mage,treant,bounty_hunter,0,1,sniper,lich,morphling,venomancer,dragon_knight,1.0
obsidian_destroyer,slark,invoker,furion,hoodwink,0,1,drow_ranger,witch_doctor,abaddon,phantom_lancer,razor,0.0
gyrocopter,faceless_void,skeleton_king,sniper,necrolyte,0,0,ursa,spirit_breaker,legion_commander,undying,tinker,0.0
morphling,sand_king,rubick,pugna,marci,0,0,windrunner,riki,jakiro,slark,enigma,1.0
spirit_breaker,slardar,lion,juggernaut,jakiro,0,0,invoker,tidehunter,lina,pudge,nevermore,1.0
huskar,riki,skywrath_mage,lycan,shadow_shaman,0,1,drow_ranger,razor,juggernaut,lina,lion,0.0
keeper_of_the_light,tiny,invoker,juggernaut,treant,0,0,bounty_hunter,antimage,zuus,windrunner,drow_ranger,1.0
nevermore,spirit_breaker,phantom_assassin,brewmaster,crystal_maiden,0,0,invoker,treant,warlock,bristleback,dawnbreaker,1.0
lich,legion_commander,bristleback,razor,ancient_apparition,0,0,shadow_shaman,venomancer,juggernaut,furion,dawnbreaker,1.0
shadow_shaman,huskar,juggernaut,rubick,dawnbreaker,0,1,windrunner,magnataur,abaddon,disruptor,gyrocopter,0.0
legion_commander,pudge,spectre,zuus,lion,0,1,lina,visage,necrolyte,hoodwink,sven,0.0
skeleton_king,dazzle,sniper,pudge,undying,0,1,shadow_demon,shredder,jakiro,lina,monkey_king,1.0
naga_siren,viper,invoker,shadow_shaman,obsidian_destroyer,0,0,storm_spirit,monkey_king,night_stalker,crystal_maiden,pudge,0.0
void_spirit,chaos_knight,ancient_apparition,ogre_magi,dawnbreaker,0,0,warlock,lion,earthshaker,juggernaut,pudge,0.0
medusa,clinkz,pudge,keeper_of_the_light,legion_commander,0,1,slark,shadow_shaman,axe,necrolyte,mirana,0.0
shadow_shaman,pudge,juggernaut,nevermore,sniper,0,0,ogre_magi,skywrath_mage,spectre,lina,enchantress,0.0
faceless_void,riki,venomancer,sniper,zuus,0,1,juggernaut,alchemist,marci,ember_spirit,dazzle,1.0
drow_ranger,vengefulspirit,sniper,primal_beast,pangolier,0,0,invoker,marci,pudge,dazzle,phantom_lancer,0.0
hoodwink,pudge,sniper,nevermore,luna,0,0,broodmother,terrorblade,abyssal_underlord,ogre_magi,earthshaker,0.0
snapfire,void_spirit,mirana,zuus,magnataur,0,1,omniknight,pugna,ember_spirit,puck,skeleton_king,0.0
skywrath_mage,razor,void_spirit,bloodseeker,vengefulspirit,0,0,crystal_maiden,dark_seer,ogre_magi,spectre,dawnbreaker,1.0
slardar,meepo,dazzle,kunkka,drow_ranger,0,0,skeleton_king,witch_doctor,crystal_maiden,juggernaut,skywrath_mage,1.0
lion,mars,phantom_assassin,enigma,drow_ranger,0,0,invoker,earthshaker,razor,shadow_shaman,morphling,1.0
storm_spirit,axe,phantom_assassin,huskar,bane,0,1,rubick,invoker,wisp,night_stalker,antimage,0.0
viper,invoker,primal_beast,ogre_magi,life_stealer,0,0,void_spirit,grimstroke,dark_seer,keeper_of_the_light,dawnbreaker,1.0
ember_spirit,juggernaut,pudge,marci,lich,0,1,mirana,axe,faceless_void,shadow_shaman,nevermore,1.0
dazzle,jakiro,juggernaut,void_spirit,windrunner,0,0,sven,spirit_breaker,winter_wyvern,phantom_assassin,lion,0.0
spirit_breaker,spectre,necrolyte,dazzle,faceless_void,0,1,queenofpain,enchantress,tidehunter,venomancer,slark,1.0
lich,clinkz,hoodwink,juggernaut,undying,0,0,vengefulspirit,monkey_king,pudge,mars,necrolyte,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0.0
juggernaut,silencer,crystal_maiden,nyx_assassin,puck,0,0,pudge,earthshaker,shadow_shaman,tiny,ogre_magi,1.0
slark,legion_commander,hoodwink,invoker,keeper_of_the_light,0,0,undying,sniper,razor,pudge,juggernaut,1.0
juggernaut,snapfire,mars,ember_spirit,rattletrap,0,0,crystal_maiden,furion,life_stealer,pudge,gyrocopter,1.0
razor,troll_warlord,alchemist,naga_siren,elder_titan,0,0,skeleton_king,shadow_shaman,obsidian_destroyer,keeper_of_the_light,night_stalker,1.0
zuus,snapfire,enchantress,razor,necrolyte,0,0,phantom_assassin,leshrac,clinkz,viper,dawnbreaker,0.0
drow_ranger,pudge,grimstroke,invoker,crystal_maiden,0,0,huskar,pugna,weaver,undying,shadow_shaman,0.0
tinker,pudge,luna,necrolyte,hoodwink,0,0,wisp,bristleback,drow_ranger,grimstroke,windrunner,1.0
windrunner,mirana,tusk,jakiro,luna,0,0,tiny,silencer,medusa,winter_wyvern,shadow_shaman,1.0
rubick,lion,viper,phantom_assassin,tusk,0,1,axe,sniper,dazzle,hoodwink,alchemist,1.0
puck,drow_ranger,necrolyte,silencer,ogre_magi,0,0,jakiro,techies,rubick,magnataur,medusa,0.0
lion,arc_warden,shadow_shaman,juggernaut,venomancer,0,1,obsidian_destroyer,marci,jakiro,dazzle,drow_ranger,1.0
windrunner,mirana,drow_ranger,rattletrap,venomancer,0,0,slardar,sven,pudge,queenofpain,spirit_breaker,0.0
undying,slark,mirana,invoker,bristleback,0,1,huskar,obsidian_destroyer,marci,dazzle,drow_ranger,1.0
weaver,warlock,centaur,zuus,windrunner,0,0,troll_warlord,drow_ranger,earthshaker,dawnbreaker,ember_spirit,0.0
phantom_assassin,juggernaut,ogre_magi,silencer,shadow_shaman,0,0,lina,wisp,luna,pudge,techies,0.0
mars,arc_warden,crystal_maiden,ogre_magi,zuus,0,1,bounty_hunter,alchemist,drow_ranger,winter_wyvern,dazzle,0.0
legion_commander,gyrocopter,crystal_maiden,antimage,razor,0,0,nevermore,monkey_king,ursa,viper,puck,1.0
disruptor,grimstroke,axe,alchemist,venomancer,0,0,terrorblade,phantom_assassin,invoker,life_stealer,obsidian_destroyer,0.0
primal_beast,weaver,wisp,brewmaster,winter_wyvern,0,0,terrorblade,keeper_of_the_light,troll_warlord,grimstroke,phantom_assassin,1.0
juggernaut,phantom_assassin,zuus,lion,lich,0,1,jakiro,ogre_magi,skywrath_mage,antimage,ursa,1.0
keeper_of_the_light,gyrocopter,silencer,sven,witch_doctor,0,0,clinkz,enchantress,lion,drow_ranger,axe,0.0
hoodwink,templar_assassin,morphling,dark_willow,sven,0,0,dawnbreaker,razor,bloodseeker,ogre_magi,pudge,0.0
disruptor,zuus,skeleton_king,lion,pudge,0,0,lina,invoker,phantom_assassin,nevermore,viper,0.0
dazzle,centaur,ursa,shadow_demon,arc_warden,0,1,ogre_magi,nevermore,beastmaster,winter_wyvern,undying,1.0
arc_warden,bane,dawnbreaker,juggernaut,skywrath_mage,0,0,pudge,medusa,dazzle,wisp,huskar,1.0
undying,juggernaut,zuus,warlock,viper,0,0,monkey_king,legion_commander,pudge,necrolyte,invoker,1.0
silencer,gyrocopter,dragon_knight,lion,juggernaut,0,1,queenofpain,spectre,zuus,ogre_magi,chaos_knight,1.0
life_stealer,grimstroke,windrunner,lion,mars,0,1,tiny,faceless_void,skywrath_mage,mirana,pugna,0.0
zuus,bane,keeper_of_the_light,marci,skeleton_king,0,0,pudge,legion_commander,sniper,puck,shadow_shaman,0.0
tinker,phantom_assassin,earth_spirit,omniknight,tusk,0,0,primal_beast,pudge,bloodseeker,grimstroke,witch_doctor,1.0
disruptor,beastmaster,sniper,pudge,slark,0,1,snapfire,undying,phantom_assassin,phantom_lancer,lion,0.0
bristleback,huskar,witch_doctor,medusa,crystal_maiden,0,1,alchemist,winter_wyvern,earthshaker,puck,legion_commander,0.0
shadow_shaman,shredder,windrunner,faceless_void,nevermore,0,0,lion,nyx_assassin,enchantress,drow_ranger,phantom_assassin,1.0
zuus,tusk,rattletrap,keeper_of_the_light,medusa,0,1,huskar,lich,kunkka,witch_doctor,slark,1.0
lion,sniper,ursa,pudge,venomancer,0,1,arc_warden,doom_bringer,grimstroke,slark,zuus,1.0
ursa,shadow_shaman,rubick,juggernaut,jakiro,0,0,witch_doctor,void_spirit,lich,kunkka,antimage,1.0
juggernaut,witch_doctor,vengefulspirit,zuus,viper,0,0,dragon_knight,phantom_assassin,jakiro,crystal_maiden,windrunner,0.0
axe,lion,lich,viper,skeleton_king,0,0,pudge,crystal_maiden,phantom_assassin,zuus,windrunner,0.0
dawnbreaker,mirana,dazzle,void_spirit,sven,0,0,templar_assassin,phantom_assassin,visage,earthshaker,pudge,1.0
bloodseeker,mirana,earthshaker,elder_titan,faceless_void,0,0,abaddon,mars,alchemist,zuus,shadow_demon,0.0
earthshaker,juggernaut,dark_seer,skywrath_mage,morphling,0,0,bristleback,shadow_shaman,pudge,chaos_knight,medusa,0.0
vengefulspirit,necrolyte,weaver,medusa,undying,0,0,slark,legion_commander,spectre,hoodwink,elder_titan,0.0
sniper,juggernaut,legion_commander,lion,zuus,0,0,snapfire,shredder,puck,medusa,shadow_shaman,0.0
spirit_breaker,rattletrap,legion_commander,sniper,juggernaut,0,1,queenofpain,centaur,weaver,silencer,zuus,0.0
mirana,pudge,lion,templar_assassin,huskar,0,0,tiny,spirit_breaker,life_stealer,keeper_of_the_light,phantom_assassin,1.0
storm_spirit,shadow_demon,abyssal_underlord,luna,lion,0,0,pudge,leshrac,sniper,tusk,spirit_breaker,1.0
medusa,pudge,lone_druid,axe,dark_willow,0,1,phantom_assassin,alchemist,keeper_of_the_light,skeleton_king,lion,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0.0
axe,zuus,venomancer,invoker,drow_ranger,0,1,furion,lina,dawnbreaker,rubick,phantom_assassin,0.0
nevermore,viper,lion,slardar,windrunner,0,0,bounty_hunter,spirit_breaker,phantom_assassin,night_stalker,sniper,1.0
phantom_lancer,razor,pugna,sand_king,bounty_hunter,0,0,legion_commander,zuus,antimage,witch_doctor,tinker,1.0
shadow_shaman,ursa,primal_beast,abaddon,zuus,0,0,pangolier,skeleton_king,obsidian_destroyer,viper,furion,0.0
drow_ranger,phantom_assassin,monkey_king,invoker,crystal_maiden,0,0,nevermore,venomancer,viper,snapfire,juggernaut,1.0
jakiro,beastmaster,void_spirit,undying,drow_ranger,0,1,pudge,legion_commander,huskar,sniper,shadow_shaman,1.0
tiny,mirana,tidehunter,nevermore,vengefulspirit,0,0,pudge,juggernaut,lina,tinker,venomancer,1.0
zuus,pudge,dark_willow,luna,razor,0,0,monkey_king,dragon_knight,hoodwink,ursa,sniper,1.0
dazzle,pangolier,puck,luna,zuus,0,0,tusk,pudge,mars,ancient_apparition,drow_ranger,1.0
viper,phantom_assassin,shredder,phoenix,huskar,0,0,drow_ranger,lycan,dark_seer,tusk,phantom_lancer,1.0
bristleback,razor,keeper_of_the_light,alchemist,bounty_hunter,0,0,gyrocopter,kunkka,spirit_breaker,shadow_shaman,luna,0.0
tusk,legion_commander,life_stealer,spirit_breaker,necrolyte,0,0,phantom_assassin,axe,ogre_magi,witch_doctor,marci,1.0
techies,lina,ancient_apparition,chen,dragon_knight,0,0,hoodwink,keeper_of_the_light,queenofpain,wisp,tiny,0.0
lina,techies,wisp,sniper,juggernaut,0,0,undying,furion,spirit_breaker,ogre_magi,skeleton_king,1.0
crystal_maiden,juggernaut,dragon_knight,tinker,shadow_shaman,0,1,winter_wyvern,enchantress,snapfire,monkey_king,earthshaker,0.0
mirana,riki,marci,gyrocopter,rubick,0,0,pudge,sniper,hoodwink,venomancer,bloodseeker,1.0
bounty_hunter,necrolyte,spectre,puck,phantom_assassin,0,1,pudge,morphling,wisp,alchemist,sniper,0.0
drow_ranger,earthshaker,ancient_apparition,jakiro,viper,0,0,weaver,pudge,phantom_assassin,pangolier,elder_titan,1.0
shadow_shaman,medusa,zuus,skeleton_king,venomancer,0,0,slark,dawnbreaker,storm_spirit,pudge,ogre_magi,0.0
dragon_knight,lion,clinkz,keeper_of_the_light,bristleback,0,0,invoker,venomancer,axe,pudge,faceless_void,1.0
invoker,bounty_hunter,dawnbreaker,sven,bloodseeker,0,0,razor,queenofpain,mirana,pangolier,jakiro,0.0
obsidian_destroyer,pangolier,weaver,rattletrap,sniper,0,0,arc_warden,shredder,drow_ranger,death_prophet,lion,0.0
slark,earth_spirit,earthshaker,puck,medusa,0,0,broodmother,ursa,enchantress,enigma,legion_commander,1.0
nevermore,vengefulspirit,phantom_lancer,mirana,legion_commander,0,0,night_stalker,lina,rattletrap,monkey_king,lion,1.0
mirana,shredder,tidehunter,lina,rubick,0,1,ursa,ogre_magi,bristleback,shadow_shaman,dark_willow,1.0
huskar,pangolier,grimstroke,sniper,slardar,0,0,gyrocopter,shredder,pudge,nevermore,lion,0.0
ogre_magi,witch_doctor,jakiro,keeper_of_the_light,phantom_assassin,0,1,zuus,vengefulspirit,lich,mirana,bristleback,0.0
skywrath_mage,juggernaut,snapfire,nyx_assassin,lich,0,0,windrunner,sniper,ursa,undying,pudge,0.0
riki,phantom_lancer,pangolier,obsidian_destroyer,bounty_hunter,0,1,slardar,abaddon,queenofpain,alchemist,weaver,1.0
phantom_lancer,witch_doctor,windrunner,snapfire,ember_spirit,0,0,void_spirit,skeleton_king,sand_king,keeper_of_the_light,magnataur,1.0
nevermore,skywrath_mage,lina,earthshaker,ursa,0,0,techies,alchemist,ogre_magi,axe,phantom_assassin,1.0
medusa,witch_doctor,lich,shredder,morphling,0,0,pudge,ogre_magi,sniper,marci,luna,0.0
morphling,windrunner,drow_ranger,pudge,luna,0,1,phoenix,tiny,ogre_magi,clinkz,medusa,0.0
bloodseeker,crystal_maiden,mirana,viper,axe,0,0,witch_doctor,dazzle,drow_ranger,monkey_king,razor,0.0
furion,meepo,antimage,tusk,night_stalker,0,0,mars,drow_ranger,skywrath_mage,juggernaut,lion,0.0
bounty_hunter,troll_warlord,pudge,leshrac,legion_commander,0,1,winter_wyvern,dazzle,clinkz,slark,primal_beast,0.0
void_spirit,faceless_void,jakiro,ogre_magi,axe,0,1,monkey_king,ursa,pudge,shadow_demon,invoker,0.0
lich,monkey_king,doom_bringer,hoodwink,void_spirit,0,0,alchemist,mars,mirana,faceless_void,silencer,1.0
templar_assassin,oracle,juggernaut,shredder,earthshaker,0,0,bounty_hunter,marci,warlock,silencer,ursa,1.0
obsidian_destroyer,slardar,witch_doctor,marci,morphling,0,1,puck,bristleback,dazzle,doom_bringer,hoodwink,1.0
viper,drow_ranger,skeleton_king,warlock,crystal_maiden,0,0,phantom_assassin,witch_doctor,lich,juggernaut,sniper,0.0
juggernaut,dazzle,zuus,huskar,dawnbreaker,0,0,invoker,crystal_maiden,gyrocopter,snapfire,windrunner,0.0
windrunner,slark,obsidian_destroyer,venomancer,dawnbreaker,0,1,monkey_king,jakiro,faceless_void,arc_warden,legion_commander,1.0
zuus,sniper,jakiro,kunkka,earthshaker,0,0,rattletrap,phantom_lancer,snapfire,lion,nevermore,0.0
necrolyte,earth_spirit,mars,lion,sniper,0,1,pudge,rubick,queenofpain,juggernaut,tidehunter,0.0
rubick,bristleback,juggernaut,lich,dawnbreaker,0,1,winter_wyvern,sniper,windrunner,axe,ursa,1.0
spirit_breaker,zuus,axe,mirana,rubick,0,0,bristleback,ember_spirit,marci,luna,magnataur,1.0
undying,shadow_shaman,enigma,phantom_assassin,nevermore,0,0,rattletrap,snapfire,weaver,crystal_maiden,winter_wyvern,0.0
pudge,nevermore,queenofpain,dawnbreaker,spectre,0,0,warlock,drow_ranger,void_spirit,axe,lion,1.0
dawnbreaker,zuus,chen,phantom_assassin,mirana,0,0,invoker,treant,sven,earthshaker,puck,0.0
troll_warlord,bristleback,treant,witch_doctor,weaver,0,1,shadow_shaman,sand_king,ogre_magi,skeleton_king,windrunner,1.0
dazzle,sand_king,hoodwink,tiny,sniper,0,0,spirit_breaker,juggernaut,winter_wyvern,ogre_magi,lycan,0.0
phantom_lancer,keeper_of_the_light,sand_king,queenofpain,marci,0,0,chaos_knight,disruptor,sven,zuus,magnataur,1.0
monkey_king,faceless_void,legion_commander,invoker,skeleton_king,0,0,disruptor,nevermore,earth_spirit,skywrath_mage,juggernaut,0.0
alchemist,tusk,undying,techies,razor,0,0,hoodwink,pudge,slardar,kunkka,nevermore,1.0
razor,lich,bounty_hunter,earthshaker,juggernaut,0,0,skeleton_king,earth_spirit,templar_assassin,techies,legion_commander,0.0
pudge,skywrath_mage,bristleback,tiny,nevermore,0,1,juggernaut,tidehunter,crystal_maiden,snapfire,obsidian_destroyer,1.0
pangolier,slark,earthshaker,disruptor,axe,0,0,bloodseeker,dragon_knight,viper,ancient_apparition,weaver,1.0
juggernaut,legion_commander,tiny,invoker,lion,0,0,nevermore,ember_spirit,earthshaker,lina,furion,0.0
faceless_void,riki,bristleback,alchemist,viper,0,0,dawnbreaker,drow_ranger,dazzle,sniper,skywrath_mage,1.0
lion,sniper,doom_bringer,mirana,invoker,0,1,medusa,sand_king,obsidian_destroyer,keeper_of_the_light,gyrocopter,0.0
pugna,pudge,sniper,earthshaker,legion_commander,0,1,hoodwink,mars,ogre_magi,life_stealer,invoker,1.0
void_spirit,marci,monkey_king,viper,skywrath_mage,0,1,magnataur,beastmaster,pudge,storm_spirit,ogre_magi,0.0
life_stealer,viper,shredder,furion,enigma,0,1,terrorblade,snapfire,storm_spirit,bristleback,spectre,1.0
dark_willow,juggernaut,medusa,antimage,vengefulspirit,0,0,grimstroke,windrunner,phantom_assassin,slardar,huskar,0.0
life_stealer,abaddon,witch_doctor,undying,drow_ranger,0,0,earth_spirit,bloodseeker,silencer,axe,ancient_apparition,1.0
shadow_shaman,necrolyte,phantom_assassin,rubick,invoker,0,0,legion_commander,ursa,grimstroke,storm_spirit,ogre_magi,1.0
pudge,lina,tusk,furion,treant,0,0,ogre_magi,nevermore,techies,primal_beast,silencer,0.0
nevermore,sniper,juggernaut,pugna,tinker,0,0,gyrocopter,skywrath_mage,life_stealer,zuus,lion,0.0
faceless_void,dark_willow,shadow_shaman,legion_commander,dragon_knight,0,1,puck,invoker,pudge,tiny,sven,1.0
windrunner,huskar,ogre_magi,spectre,rattletrap,0,0,riki,mirana,luna,undying,mars,0.0
shadow_shaman,templar_assassin,techies,ancient_apparition,void_spirit,0,0,shadow_demon,treant,crystal_maiden,visage,disruptor,0.0
silencer,vengefulspirit,abyssal_underlord,obsidian_destroyer,mirana,0,0,faceless_void,puck,invoker,shredder,dawnbreaker,1.0
skywrath_mage,dazzle,juggernaut,phoenix,tidehunter,0,0,pudge,rubick,nevermore,skeleton_king,drow_ranger,1.0
marci,tiny,spirit_breaker,venomancer,viper,0,0,silencer,windrunner,axe,pudge,enchantress,1.0
earthshaker,monkey_king,rattletrap,keeper_of_the_light,windrunner,0,1,dawnbreaker,juggernaut,bane,puck,hoodwink,1.0
monkey_king,windrunner,rubick,shadow_shaman,dawnbreaker,0,0,abaddon,lich,bristleback,drow_ranger,marci,0.0
windrunner,witch_doctor,storm_spirit,invoker,phantom_lancer,0,0,tiny,undying,sand_king,troll_warlord,phantom_assassin,1.0
axe,skywrath_mage,weaver,necrolyte,pudge,0,1,ursa,slardar,invoker,tusk,dazzle,0.0
furion,meepo,faceless_void,pugna,huskar,0,0,tusk,zuus,troll_warlord,centaur,batrider,0.0
gyrocopter,magnataur,ursa,weaver,techies,0,0,chen,lycan,morphling,skywrath_mage,rubick,1.0
obsidian_destroyer,sniper,viper,zuus,phantom_assassin,0,0,riki,skywrath_mage,puck,pudge,treant,0.0
weaver,ogre_magi,mars,storm_spirit,phantom_assassin,0,1,dragon_knight,wisp,ember_spirit,silencer,sven,1.0
shredder,storm_spirit,dark_willow,silencer,drow_ranger,0,0,techies,bristleback,sven,alchemist,slardar,1.0
dragon_knight,ogre_magi,windrunner,phantom_assassin,luna,0,1,venomancer,dawnbreaker,rubick,necrolyte,skeleton_king,1.0
puck,pudge,silencer,alchemist,wisp,0,1,dawnbreaker,bane,razor,grimstroke,sven,1.0
abyssal_underlord,crystal_maiden,antimage,tusk,lion,0,0,pudge,rubick,drow_ranger,bloodseeker,venomancer,0.0
monkey_king,morphling,wisp,life_stealer,faceless_void,0,0,winter_wyvern,slark,tusk,gyrocopter,dawnbreaker,1.0
tidehunter,brewmaster,obsidian_destroyer,ember_spirit,marci,0,0,mars,dragon_knight,chaos_knight,ancient_apparition,abyssal_underlord,1.0
bristleback,visage,sniper,phantom_lancer,drow_ranger,0,0,jakiro,juggernaut,queenofpain,lich,nevermore,1.0
axe,luna,bloodseeker,lion,pugna,0,0,windrunner,abyssal_underlord,weaver,tinker,ember_spirit,1.0
crystal_maiden,rubick,pudge,ursa,ember_spirit,0,0,tusk,drow_ranger,skywrath_mage,witch_doctor,storm_spirit,0.0
lina,drow_ranger,weaver,mirana,shadow_shaman,0,1,silencer,centaur,ogre_magi,lion,monkey_king,0.0
hoodwink,windrunner,mars,tiny,spectre,0,0,silencer,sven,clinkz,bounty_hunter,magnataur,0.0
